"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2017","49,128.76","49,073.66","49,241.30","48,952.75","137.32M","0.10%"
"Jun 09, 2017","49,081.73","49,046.86","49,277.32","48,993.26","156.51M","-0.01%"
"Jun 08, 2017","49,087.46","49,302.66","49,327.41","49,018.96","148.78M","-0.38%"
"Jun 07, 2017","49,274.97","49,194.22","49,352.78","49,030.24","169.61M","0.11%"
"Jun 06, 2017","49,218.62","49,566.33","49,566.33","49,177.54","140.94M","-0.75%"
"Jun 05, 2017","49,592.49","49,244.27","49,627.76","49,120.67","131.65M","0.56%"
"Jun 02, 2017","49,317.38","49,100.82","49,323.72","48,979.59","128.67M","0.44%"
"Jun 01, 2017","49,101.64","48,795.89","49,224.46","48,774.91","158.60M","0.64%"
"May 31, 2017","48,788.44","49,275.63","49,423.41","48,749.96","336.95M","-0.99%"
"May 30, 2017","49,277.95","49,452.20","49,634.11","49,089.09","103.29M","-0.35%"
"May 29, 2017","49,450.48","49,676.03","49,701.28","49,332.55","30.74M","-0.45%"
"May 26, 2017","49,674.92","49,411.73","49,741.81","49,195.27","140.81M","0.53%"
"May 25, 2017","49,410.92","49,502.26","49,696.99","49,319.91","136.32M","-0.17%"
"May 24, 2017","49,494.40","49,045.14","49,581.99","49,045.14","158.36M","0.92%"
"May 23, 2017","49,042.52","48,945.98","49,119.90","48,771.77","146.38M","0.20%"
"May 22, 2017","48,943.46","49,056.73","49,415.89","48,793.24","165.74M","-0.25%"
"May 19, 2017","49,067.47","48,322.24","49,172.65","48,274.62","207.22M","1.54%"
"May 18, 2017","48,322.24","48,759.26","48,759.26","48,146.00","188.15M","-0.87%"
"May 17, 2017","48,747.95","49,457.90","49,460.97","48,731.54","217.47M","-1.44%"
"May 16, 2017","49,459.62","49,680.10","49,817.31","49,404.63","231.52M","-0.44%"
"May 15, 2017","49,678.96","49,433.95","49,733.50","49,338.73","166.44M","0.51%"
"May 12, 2017","49,426.08","49,531.87","49,566.95","49,228.54","161.49M","-0.21%"
"May 11, 2017","49,530.53","49,930.73","49,937.07","49,458.06","189.15M","-0.80%"
"May 10, 2017","49,930.54","49,941.49","50,154.33","49,850.10","183.32M","-0.02%"
"May 09, 2017","49,939.47","49,503.04","50,026.56","49,503.04","169.03M","0.88%"
"May 08, 2017","49,505.86","49,491.42","49,582.49","49,346.09","112.00M","0.04%"
"May 05, 2017","49,485.67","48,994.68","49,485.74","48,963.88","154.78M","1.00%"
"May 04, 2017","48,998.11","49,098.06","49,312.07","48,867.37","162.57M","-0.21%"
"May 03, 2017","49,099.98","49,540.30","49,757.96","49,070.31","150.61M","-0.99%"
"May 02, 2017","49,588.84","49,260.12","49,646.61","49,220.77","188.06M","0.66%"
"Apr 28, 2017","49,261.33","49,444.98","49,478.26","49,151.90","140.42M","-0.36%"
"Apr 27, 2017","49,440.96","49,552.32","49,649.47","49,184.12","242.50M","-0.25%"
"Apr 26, 2017","49,565.16","49,807.85","50,147.04","49,130.50","254.57M","-0.49%"
"Apr 25, 2017","49,808.05","49,411.34","49,821.47","49,411.34","232.99M","0.80%"
"Apr 24, 2017","49,413.26","48,969.69","49,504.59","48,969.69","127.09M","0.91%"
"Apr 21, 2017","48,967.83","49,131.74","49,131.74","48,727.74","110.08M","-0.36%"
